%	procente
GB	gigabaiți
MW	megawați
MB	megabaiți
PB	petabaiți
TB	terabaiți
ani	ani
ceasuri	ceasuri
cm	de centimetri
cm	centimetri
decenii	decenii
de MW	de megawați
g	de grame
g	grame
gb	gigabiți
gsm	grame pe metru pătrat
mg/l	miligrame per litru
mg/l	miligrame pe litru
mg/l	de miligrame pe litru
gsm	g s m
gsm	ge ese eme
hectare	hectare
kWh	de kilowați oră
kWh	kilowați oră
kg	de kilograme
kg	kilograme
kW	kilowati
km	kilometri
km	de kilometri
km²	de kilometri pătrați
km²	kilometri pătrați
km/h	de kilometri pe oră
km/h	de kilometri la oră
km/h	kilometri la oră
km/h	kilometri pe oră
l/m²	de litri pe metru pătrat
l	de litri
l	litri
lei	lei
luni	luni
m	de metri
m	metri
m²	de metri pătrați
m²	metri pătrați
m³	metri cubi
m³	de metri cubi
mb	megabiți
mg	miligrame
miliarde	miliarde
milenii	milenii
milioane	milioane
minute	minute
mm	de milimetri
mm	milimetri
mph	mile pe oră
ms	milisecunde
m²	metri pătrați
ore	ore
p s i	psi
pe ese i	psi
psi	p s i
secunde	secunde
săptămâni	săptămâni
secunde	s
secole	secole
de ani	de ani
tone	tone
veacuri	veacuri
zile	zile
°	de grade
°	grade
°C	de grade Celsius
°C	de grade celsius
°C	grade Celsius
°C	grade celsius
°F	grade Fahrenheit
°K	grade Kelvin
dolari	dolari
cenți	cenți
euro	euro
lei    lei
