cm	centimetru
g	gram
oră	oră
tonă	tonă
kg	kilogram
kg	kilogram
km²	kilometru pătrat
km	kilometru
l	litru
mg/l	miligram pe litru
m²	metru pătrat
m	metru
m³	metru cub
mph	milă pe oră
ml	mililitru
mm	milimetru
ms	milisecundă
minut	minut
%	la sută
%	la sută
s	secundă
°C	grad Celsius
°F	grad Fahrenheit
°K	grad Kelvin
km/h	kilometru pe oră
mb	megabit
MB	megabyte
gb	gigabit
GB	gigabyte
TB	terabyte
PB	petabyte
oră	oră
săptămână	săptămână
an	an
secol	secol
deceniu	deceniu
veac	veac
zi	zi
lună	lună
miliard	miliard
leu	leu
/kW	pe kilowat
kW	kilowat
euro	euro
