€	euro
US$	dolari americani
US$	dolari americani
CAD$	dolari canadieni
$	dolari
$	pesi
¥	yeni
AR$	pesi argentinieni
BOB	bolivieni
BRL	reali brazilieni
CHF	franci elvețieni
CLP	pesi chilieni
CNY	yuani chinezi
COP	pesi columbieni
CRC	coloni costaricani
₡	coloni
CUP	pesi cubanezi
RD$	pesi dominicani
GBP	lire sterline
GTQ	quetzali
HKD	dolari din Hong Kong
HNL	lempire
HTG	gourde
INR	rupii indiene
Mex$	pesi mexicani
NIO	cordobe
PAB	balboa
S/	soli
₲	guarani
SVC	coloni salvadorieni
UYU	pesi uruguayeni
VES	bolivari suverani
BOP	pesi bolivieni
CLE	escudo chilieni
ECS	sucres ecuadorieni
PEH	soli de aur
VEB	bolivari venezueleni
VEF	bolivari fuerte
£	lire
₩	woni
R$	reali
₧	pesete
q	quetzali
