zero	00
unu	01
una	01
doi	02
două	02
trei	03
patru	04
cinci	05
șase	06
șapte	07
opt	08
nouă	09
zece	10
unsprezece	11
doisprezece	12
treisprezece	13
paisprezece	14
cincisprezece	15
șaisprezece	16
șaptesprezece	17
optsprezece	18
nouăsprezece	19
douăzeci	20
douăzeci și unu	21
douăzeci și una	21
douăzeci și doi	22
douăzeci și două	22
douăzeci și trei	23
douăzeci și patru	24
douăzeci și cinci	25
douăzeci și șase	26
douăzeci și șapte	27
douăzeci și opt	28
douăzeci și nouă	29
treizeci	30
treizeci și unu	31
treizeci și una	31
treizeci și doi	32
treizeci și două	32
treizeci și trei	33
treizeci și patru	34
treizeci și cinci	35
treizeci și șase	36
treizeci și șapte	37
treizeci și opt	38
treizeci și nouă	39
patruzeci	40
patruzeci și unu	41
patruzeci și una	41
patruzeci și doi	42
patruzeci și două	42
patruzeci și trei	43
patruzeci și patru	44
patruzeci și cinci	45
patruzeci și șase	46
patruzeci și șapte	47
patruzeci și opt	48
patruzeci și nouă	49
cincizeci	50
cincizeci și unu	51
cincizeci și una	51
cincizeci și doi	52
cincizeci și două	52
cincizeci și trei	53
cincizeci și patru	54
cincizeci și cinci	55
cincizeci și șase	56
cincizeci și șapte	57
cincizeci și opt	58
cincizeci și nouă	59
