UTC    u t c
CST    c s t
CET    c e t
PST    p s t
EST    e s t
MDT    m d t
MST    m s t
PT     p t
ET     e t
MT     m t
GMT    g m t
ADT    ora de vară a Atlanticului
AMT    ora standard a Amazonului
ART    ora standard a Argentinei
AST    ora standard a Atlanticului
BOT    ora din Bolivia
BRT    ora standard a Braziliei
CLST   ora de vară a Chile
CLT    ora standard a Chile
COT    ora standard a Columbiei
EAST   ora standard a Insulei Paștelui
ECT    ora din Ecuador
EEAST  ora de vară a Insulei Paștelui
EEST   ora de vară a Europei de Est
EET    ora standard a Europei de Est
FKST   ora de vară a Malvinelor
FNT    ora standard a Fernando de Noronha
GALT   ora din Galapagos
GFT    ora din Guiana Franceză
GYT    ora din Guyana
HKT    ora standard a Hong Kong-ului
JST    ora standard a Japoniei
KST    ora standard a Coreei
PET    ora standard a Perului
PYST   ora de vară a Paraguayului
PYT    ora standard a Paraguayului
SGT    ora din Singapore
UYST   ora de vară a Uruguayului
UYT    ora din Uruguay
VET    ora din Venezuela
WEST   ora de vară a Europei de Vest
WET    ora standard a Europei de Vest
