UTC    U T C
CST    C S T
CET    C E T
PST    P S T
EST    E S T
MDT    M D T
MST    M S T
PT     P T
ET     E T
MT     M T
GMT    G M T
ADT    Ora de vară a Atlanticului
AMT    Ora standard a Amazonului
ART    Ora standard a Argentinei
AST    Ora standard a Atlanticului
BOT    Ora din Bolivia
BRT    Ora standard a Braziliei
CLST   Ora de vară a Chile
CLT    Ora standard a Chile
COT    Ora standard a Columbiei
EAST   Ora standard a Insulei Paștelui
ECT    Ora din Ecuador
EEAST  Ora de vară a Insulei Paștelui
EEST   Ora de vară a Europei de Est
EET    Ora standard a Europei de Est
FKST   Ora de vară a Malvinelor
FNT    Ora standard a Fernando de Noronha
GALT   Ora din Galapagos
GFT    Ora din Guiana Franceză
GYT    Ora din Guyana
HKT    Ora standard a Hong Kong-ului
JST    Ora standard a Japoniei
KST    Ora standard a Coreei
PET    Ora standard a Perului
PYST   Ora de vară a Paraguayului
PYT    Ora standard a Paraguayului
SGT    Ora din Singapore
UYST   Ora de vară a Uruguayului
UYT    Ora din Uruguay
VET    Ora din Venezuela
WEST   Ora de vară a Europei de Vest
WET    Ora standard a Europei de Vest
