acdt    ora de vară a Australiei centrale
acst    ora standard a Australiei centrale
act     ora din Acre
acwst   ora standard a Australiei centru-occidentale
aedt    ora de vară a Australiei orientale
aest    ora standard a Australiei orientale
aft     ora din Afganistan
akdt    ora de vară a Alaskăi
akst    ora standard a Alaskăi
almt    ora din Almá-Atá
aqtt    ora din Aktobé
awst    ora standard a Australiei occidentale
azost   ora de vară a Azorelor
azot    ora standard a Azorelor
azt     ora standard a Azerbaidjanului
bdt     ora din Brunei
bnt     ora din Brunei Darussalam
bst     ora de vară britanică
btt     ora din Butan
cast    ora din Casey
cat     ora din Africa Centrală
cct     ora din Insulele Cocos
cest    ora de vară a Europei centrale
chut    ora din Chuuk
cvt     ora standard a Capului Verde
cxt     ora din Insula Crăciunului
chst    ora standard a Chamorro
eat     ora din Africa Orientală
egst    ora de vară a Groenlandei orientale
egt     ora standard a Groenlandei orientale
fjst    ora de vară a Fijilor
fjt     ora standard a Fijilor
gamt    ora din Gambier
ict     ora din Indochina
idt     ora de vară a Israelului
iot     ora din Oceanul Indian
irdt    ora de vară a Iranului
irst    ora standard a Iranului
ist     i s t
kgt     ora din Kirgistan
krat    ora standard a Krasnoyarsk
lint    ora din Sporadele Ecuatoriale
magt    ora standard a Magadanului
mart    ora din Insulele Marquesas
mmt     ora din Birmania
msk     ora standard a Moscovei
mut     ora standard a Mauritius
mvt     ora din Maldive
myt     ora din Malaezia
nct     ora standard a Noii Caledonii
ndt     ora de vară a Terrei Noi
nft     ora din Insulele Norfolk
vot     ora standard a Novosibirsk
npt     ora din Nepal
nrt     ora din Nauru
nst     ora standard a Terrei Noi
nzdt    ora de vară a Noii Zeelande
hzst    ora standard a Noii Zeelande
omst    ora standard a Omsk
orat    ora din Kazahstanul de Vest
pett    ora din Kamchatka
pgt     ora din Papua Noua Guinee
phot    ora din Insulele Phoenix
pkt     ora standard a Pakistanului
pmdt    ora de vară a San Pedro și Miquelon
pmst    ora standard a San Pedro și Miquelon
pont    ora din Pohnpei
pwt     ora din Palau
qyzt    ora din Quizilordá
ret     ora din Reunion
sakt    ora standard a Sajalín
samt    ora din Samara
sast    ora din Africa de Sud
sbt     ora din Insulele Solomon
sret    ora din Srednekolimsk
srt     ora din Surinam
sst     ora standard a Samoa
taht    ora din Tahiti
tft     ora din Teritoriile australe și antarctice franceze
tjt     ora din Tadjikistan
tkt     ora din Tokelau
tlt     ora din Timorul de Est
tmt     ora standard a Turkmenistanului
tot     ora standard a Tonga
trt     ora standard a Turciei
tvt     ora din Tuvalu
ulat    ora standard a Ulan Bator
uzt     ora standard a Uzbekistanului
vlat    ora standard a Vladivostok
volt    ora standard a Volgograd
vost    ora din Vostok
vut     ora standard a Vanuatu
wakt    ora din Insula Wake
wat     ora standard a Africii de Vest
wgst    ora de vară a Groenlandei de Vest
wgt     ora standard a Groenlandei de Vest
wib     ora din Indonezia de Vest
wit     ora din Indonezia de Est
wita    ora din Indonezia Centrală
wst     ora din Samoa de Vest
yakt    ora standard a Yakutsk
yekt    ora standard a Ekaterinburg
